
Date[2015-10-05 10:53:58,155] ThreadID[47] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess Get

Date[2015-10-05 10:53:58,155] ThreadID[47] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Get Executed in 360 milli seconds

Date[2015-10-05 10:55:18,775] ThreadID[8] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry Get

Date[2015-10-05 10:55:20,602] ThreadID[8] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess Get

Date[2015-10-05 10:55:20,602] ThreadID[8] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Get Executed in 1826 milli seconds

Date[2015-10-05 10:56:46,477] ThreadID[5] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry Getsync

Date[2015-10-05 10:56:46,526] ThreadID[5] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess Getsync

Date[2015-10-05 10:56:46,526] ThreadID[5] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Getsync Executed in 41 milli seconds

Date[2015-10-05 10:57:49,847] ThreadID[8] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry Get

Date[2015-10-05 10:57:50,207] ThreadID[8] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess Get

Date[2015-10-05 10:57:50,207] ThreadID[8] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Get Executed in 342 milli seconds

Date[2015-10-05 11:06:07,651] ThreadID[8] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry Getsync

Date[2015-10-05 11:06:08,041] ThreadID[8] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess Getsync

Date[2015-10-05 11:06:08,041] ThreadID[8] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Getsync Executed in 391 milli seconds

Date[2015-10-05 11:06:56,677] ThreadID[5] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry Getsync

Date[2015-10-05 11:06:56,677] ThreadID[5] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess Getsync

Date[2015-10-05 11:06:56,677] ThreadID[5] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Getsync Executed in 1 milli seconds

Date[2015-10-05 11:07:42,691] ThreadID[9] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry Getsync

Date[2015-10-05 11:07:42,691] ThreadID[9] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess Getsync

Date[2015-10-05 11:07:42,691] ThreadID[9] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Getsync Executed in 0 milli seconds

Date[2015-10-05 11:11:13,846] ThreadID[17] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry Getsync

Date[2015-10-05 11:11:13,846] ThreadID[17] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess Getsync

Date[2015-10-05 11:11:13,846] ThreadID[17] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Getsync Executed in 0 milli seconds

Date[2015-10-05 11:11:22,853] ThreadID[12] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry Getsync

Date[2015-10-05 11:11:22,853] ThreadID[12] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess Getsync

Date[2015-10-05 11:11:22,853] ThreadID[12] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Getsync Executed in 0 milli seconds

Date[2015-10-05 11:13:14,964] ThreadID[23] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry Getsync

Date[2015-10-05 11:13:14,964] ThreadID[23] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess Getsync

Date[2015-10-05 11:13:14,964] ThreadID[23] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Getsync Executed in 0 milli seconds

Date[2015-10-05 11:16:01,772] ThreadID[12] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry Getsync

Date[2015-10-05 11:16:02,181] ThreadID[12] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess Getsync

Date[2015-10-05 11:16:02,181] ThreadID[12] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Getsync Executed in 411 milli seconds

Date[2015-10-05 11:16:03,680] ThreadID[11] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry Getsync

Date[2015-10-05 11:16:03,680] ThreadID[11] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess Getsync

Date[2015-10-05 11:16:03,680] ThreadID[11] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Getsync Executed in 1 milli seconds

Date[2015-10-05 11:16:10,474] ThreadID[11] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry GetPersons

Date[2015-10-05 11:16:34,683] ThreadID[11] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess GetPersons

Date[2015-10-05 11:16:34,683] ThreadID[11] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - GetPersons Executed in 24226 milli seconds

Date[2015-10-05 11:17:56,856] ThreadID[22] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry GetPersons

Date[2015-10-05 11:18:19,516] ThreadID[22] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess GetPersons

Date[2015-10-05 11:18:19,516] ThreadID[22] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - GetPersons Executed in 22674 milli seconds

Date[2015-10-05 11:18:34,338] ThreadID[17] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry Getsync

Date[2015-10-05 11:18:44,078] ThreadID[17] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess Getsync

Date[2015-10-05 11:18:47,121] ThreadID[17] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Getsync Executed in 11982 milli seconds

Date[2015-10-05 11:19:02,004] ThreadID[17] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry Getsync

Date[2015-10-05 11:19:20,226] ThreadID[17] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess Getsync

Date[2015-10-05 11:19:23,441] ThreadID[17] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Getsync Executed in 19956 milli seconds

Date[2015-10-05 11:19:38,729] ThreadID[17] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry Getsync

Date[2015-10-05 11:19:41,033] ThreadID[17] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess Getsync

Date[2015-10-05 11:19:41,033] ThreadID[17] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Getsync Executed in 2326 milli seconds

Date[2015-10-05 11:21:36,579] ThreadID[33] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry Getsync

Date[2015-10-05 11:21:36,580] ThreadID[33] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess Getsync

Date[2015-10-05 11:21:36,580] ThreadID[33] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Getsync Executed in 1 milli seconds

Date[2015-10-05 11:22:03,234] ThreadID[31] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry GetPersons

Date[2015-10-05 11:22:03,603] ThreadID[31] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess GetPersons

Date[2015-10-05 11:22:03,603] ThreadID[31] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - GetPersons Executed in 369 milli seconds

Date[2015-10-05 11:22:20,880] ThreadID[29] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry GetPersons

Date[2015-10-05 11:22:21,194] ThreadID[29] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess GetPersons

Date[2015-10-05 11:22:21,194] ThreadID[29] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - GetPersons Executed in 327 milli seconds

Date[2015-10-05 11:22:53,183] ThreadID[31] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry GetPersons

Date[2015-10-05 11:22:53,491] ThreadID[31] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess GetPersons

Date[2015-10-05 11:22:53,491] ThreadID[31] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - GetPersons Executed in 328 milli seconds

Date[2015-10-05 11:23:11,831] ThreadID[17] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry GetPersons

Date[2015-10-05 11:23:12,145] ThreadID[17] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess GetPersons

Date[2015-10-05 11:23:12,145] ThreadID[17] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - GetPersons Executed in 327 milli seconds

Date[2015-10-05 11:24:04,170] ThreadID[14] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry Getsync

Date[2015-10-05 11:24:05,452] ThreadID[14] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess Getsync

